Modelo,Usa_Penalidade,ID_Fluxo,Rota,Tipo_Rota,Origem,Lat_O,Lon_O,Destino,Lat_D,Lon_D,Custo_Horas,Doses,Vacina,Modal
2,True,Manaus_AM_Luiz_Montenegro_Janssen,Manaus -> AM_Luiz_Montenegro,jp,Manaus,-3.0922,-60.0604,AM_Luiz_Montenegro,-3.112497,-60.021908,2.105,2303,Janssen,rodoviario
2,True,Manaus_AM_Silas_Santos_Pfizer,Manaus -> AM_Silas_Santos,jp,Manaus,-3.0922,-60.0604,AM_Silas_Santos,-3.075122,-59.931769,2.312,13822,Pfizer,rodoviario
2,True,Manaus_AM_Silas_Santos_AstraZeneca,Manaus -> AM_Silas_Santos,jp,Manaus,-3.0922,-60.0604,AM_Silas_Santos,-3.075122,-59.931769,2.312,13822,AstraZeneca,rodoviario
2,True,Manaus_AM_Silas_Santos_CoronaVac,Manaus -> AM_Silas_Santos,jp,Manaus,-3.0922,-60.0604,AM_Silas_Santos,-3.075122,-59.931769,2.312,13822,CoronaVac,rodoviario
2,True,Manaus_AM_Silas_Santos_Janssen,Manaus -> AM_Silas_Santos,jp,Manaus,-3.0922,-60.0604,AM_Silas_Santos,-3.075122,-59.931769,2.312,2303,Janssen,rodoviario
2,True,BoaVista_RR_Sao_Vicente_Pfizer,BoaVista -> RR_Sao_Vicente,jp,BoaVista,2.8212,-60.673,RR_Sao_Vicente,2.809521,-60.679099,2.032,2912,Pfizer,rodoviario
2,True,BoaVista_RR_Sao_Vicente_AstraZeneca,BoaVista -> RR_Sao_Vicente,jp,BoaVista,2.8212,-60.673,RR_Sao_Vicente,2.809521,-60.679099,2.032,2912,AstraZeneca,rodoviario
2,True,BoaVista_RR_Sao_Vicente_CoronaVac,BoaVista -> RR_Sao_Vicente,jp,BoaVista,2.8212,-60.673,RR_Sao_Vicente,2.809521,-60.679099,2.032,2912,CoronaVac,rodoviario
2,True,BoaVista_RR_Sao_Vicente_Janssen,BoaVista -> RR_Sao_Vicente,jp,BoaVista,2.8212,-60.673,RR_Sao_Vicente,2.809521,-60.679099,2.032,485,Janssen,rodoviario
2,True,BoaVista_RR_CMI_Pfizer,BoaVista -> RR_CMI,jp,BoaVista,2.8212,-60.673,RR_CMI,2.830223,-60.704874,2.080,2912,Pfizer,rodoviario
